353	998
180	997
377	991
230	986
87	978
174	977
157	939
390	936
186	924
213	920
56	911
86	901
77	901
215	885
252	880
90	866
360	866
187	863
294	856
379	842
372	809
384	794
93	792
328	789
283	778
99	767
114	764
374	764
383	763
183	759
248	756
164	747
323	739
263	708
266	707
318	706
296	694
196	693
10	684
324	680
128	676
376	652
19	644
280	640
229	628
225	612
217	607
134	597
233	593
35	570
361	560
302	556
166	556
374	556
392	542
319	538
241	530
15	530
384	520
82	498
158	487
322	466
139	464
239	461
110	459
44	456
115	452
23	443
267	412
82	399
30	391
198	383
173	381
70	378
329	377
125	359
220	353
107	351
148	327
159	317
351	311
56	295
17	289
99	287
308	283
396	269
327	249
235	248
213	235
223	193
372	189
376	189
191	134
299	108
304	93
277	74
292	51
391	48
120	23
37	8
